Country/Region,0,1,2,3,4,5
Rwanda,127.0,171.48,137.89,64.4,36.05,10.74
Saint Lucia,15.0,45.69,44.01,-0.8,11.48,7.34
Saint Vincent and the Grenadines,12.0,54.89,49.86,4.28,9.73,-4.31
San Marino,224.0,279.0,435.0,30.0,35.0,-30.18
Saudi Arabia,1720.0,4033.0,11631.0,874.32,1542.46,1466.53
Senegal,190.0,278.0,412.0,2.27,42.97,46.35
Serbia,1908.0,4873.0,3414.05,122.0,130.82,186.42
Seychelles,11.0,31.89,35.54,-8.57,15.84,15.26
Singapore,85.0,110.0,200.0,11.0,28.83,30.87
Slovakia,485.0,863.0,635.74,5.38,4.19,29.49
Slovenia,977.0,1220.0,985.07,55.0,30.48,35.3
Somalia,80.0,110.77,90.87,-0.19,10.11,6.23
South Africa,1585.0,2415.0,1808.13,9.9,10.45,57.94
Spain,120.0,2277.0,28768.0,10348.0,17209.0,11723.92
Sri Lanka,1.0,1.0,44.0,19.01,11.21,15.75
Sudan,19.0,55.51,41.81,2.0,-3.02,0.61
Suriname,10.0,53.45,55.42,43.12,26.98,8.66
Sweden,14.0,500.0,1763.0,870.0,1580.0,1195.93
Switzerland,11811.0,21100.0,26336.0,666.0,1174.0,2094.07
Taiwan*,26.0,41.0,49.0,1.0,2.0,5.0
Tanzania,88.0,110.82,93.45,0.18,10.87,8.48
Thailand,35.0,43.0,70.0,10.0,33.0,47.0
Togo,44.0,81.0,83.47,52.71,31.23,10.03
Trinidad and Tobago,113.0,159.02,124.35,-13.72,25.96,10.0
Tunisia,495.0,726.0,598.83,37.0,70.76,46.81
Turkey,47029.0,90980.0,65373.76,1643.0,857.1,2655.45
Uganda,56.0,73.33,65.98,-2.28,17.79,15.66
Ukraine,897.0,2777.0,1935.49,83.0,118.76,120.44
United Arab Emirates,19.0,45.0,140.0,41.0,108.63,44.55
United Kingdom,36.0,459.0,5067.0,4320.0,12129.0,12131.3
Uruguay,480.0,468.73,350.7,-32.09,1.69,12.19
US,15.0,98.0,1663.0,2978.0,16544.0,40661.0
Uzbekistan,1165.0,1150.45,843.87,33.68,2.73,-1.98
Venezuela,189.0,224.43,170.3,-19.68,22.61,9.84
Vietnam,16.0,16.0,47.0,2.78,16.17,10.22
Zambia,52.0,71.8,70.64,16.6,20.94,10.95
Zimbabwe,25.0,59.32,50.36,-39.79,3.35,0.42
Dominica,16.0,43.78,45.16,27.46,25.72,13.54
Grenada,14.0,13.42,24.68,6.66,9.89,12.78
Mozambique,39.0,59.46,54.21,-7.53,17.96,13.14
Syria,42.0,71.74,64.35,0.48,11.92,6.64
Timor-Leste,23.0,22.46,31.13,10.04,7.2,11.49
Belize,19.97,50.56,48.42,52.13,33.48,12.31
Laos,10.91,41.54,43.28,34.82,28.16,12.75
Libya,2.34,17.82,24.87,-6.3,18.58,12.85
West Bank and Gaza,217.0,308.0,253.58,28.87,27.42,19.67
Guinea-Bissau,-2.19,-4.76,10.38,-6.69,3.09,13.09
Mali,-3.54,22.94,25.44,-1.71,23.29,13.48
Saint Kitts and Nevis,-16.15,14.74,21.47,-5.52,8.43,5.02
Kosovo,14.34,48.2,48.83,46.09,28.44,9.05
Burma,7.78,37.36,40.7,26.97,25.32,12.81
MS Zaandam,-20.94,5.46,16.04,-23.43,3.39,3.41
Botswana,16.25,9.5,17.75,0.51,6.48,3.68
Burundi,8.67,46.49,45.91,42.49,29.09,11.11
Sierra Leone,9.58,42.52,44.27,37.37,25.68,9.09
Malawi,2.7,37.19,37.1,26.05,28.33,14.73
South Sudan,2.97,15.15,24.41,1.74,13.43,10.29
Western Sahara,-12.04,17.78,23.55,-18.49,17.1,10.31
Sao Tome and Principe,-17.99,18.61,24.28,0.3,12.26,8.13
Yemen,-20.26,17.09,22.95,-0.54,10.62,6.56
