Country/Region,Cases 30 days from first case,Cases 40 days from first case,Cases 50 days from first case,Deaths 30 days from first death,Deaths 40 days from first death,Deaths 50 days from first death
Lithuania,460.0,912.0,1239.0,37.0,,
Luxembourg,1988.0,3115.0,3550.0,69.0,,
Madagascar,121.0,,,,,
Malaysia,22.0,50.0,428.0,84.0,,
Maldives,19.0,28.0,,,,
Malta,241.0,412.0,,,,
Mauritania,7.0,,,,,
Mauritius,324.0,,,9.0,,
Mexico,848.0,2785.0,6875.0,546.0,,
Moldova,1056.0,2264.0,,56.0,,
Monaco,49.0,84.0,94.0,,,
Mongolia,16.0,32.0,,,,
Montenegro,303.0,,,,,
Morocco,654.0,1545.0,3209.0,97.0,141.0,
Namibia,16.0,,,,,
Nepal,1.0,1.0,1.0,,,
Netherlands,9819.0,19709.0,30619.0,1771.0,3145.0,
New Zealand,514.0,1210.0,1422.0,,,
Nicaragua,9.0,,,,,
Niger,648.0,,,,,
Nigeria,111.0,276.0,542.0,,,
North Macedonia,219.0,570.0,1081.0,55.0,,
Norway,3755.0,5865.0,6896.0,134.0,,
Oman,99.0,277.0,813.0,,,
Pakistan,1373.0,3766.0,6919.0,143.0,,
Panama,2528.0,4273.0,,66.0,126.0,
Papua New Guinea,7.0,,,,,
Paraguay,115.0,199.0,,8.0,,
Peru,2281.0,11475.0,,400.0,,
Philippines,3.0,33.0,230.0,1.0,5.0,33.0
Poland,3383.0,6934.0,,208.0,401.0,
Portugal,8251.0,15987.0,21379.0,629.0,,
Qatar,693.0,2376.0,5448.0,,,
Romania,1292.0,4057.0,7707.0,498.0,,
Russia,2.0,20.0,306.0,313.0,,
Rwanda,127.0,,,,,
Saint Lucia,15.0,,,,,
Saint Vincent and the Grenadines,12.0,,,,,
San Marino,224.0,279.0,435.0,30.0,35.0,
Saudi Arabia,1720.0,4033.0,11631.0,,,
Senegal,190.0,278.0,412.0,,,
Serbia,1908.0,4873.0,,122.0,,
Seychelles,11.0,,,,,
Singapore,85.0,110.0,200.0,11.0,,
Slovakia,485.0,863.0,,,,
Slovenia,977.0,1220.0,,55.0,,
Somalia,80.0,,,,,
South Africa,1585.0,2415.0,,,,
Spain,120.0,2277.0,28768.0,10348.0,17209.0,
Sri Lanka,1.0,1.0,44.0,,,
Sudan,19.0,,,2.0,,
Suriname,10.0,,,,,
Sweden,14.0,500.0,1763.0,870.0,1580.0,
Switzerland,11811.0,21100.0,26336.0,666.0,1174.0,
Taiwan*,26.0,41.0,49.0,1.0,2.0,5.0
Tanzania,88.0,,,,,
Thailand,35.0,43.0,70.0,10.0,33.0,47.0
Togo,44.0,81.0,,,,
Trinidad and Tobago,113.0,,,,,
Tunisia,495.0,726.0,,37.0,,
Turkey,47029.0,90980.0,,1643.0,,
Uganda,56.0,,,,,
Ukraine,897.0,2777.0,,83.0,,
United Arab Emirates,19.0,45.0,140.0,41.0,,
United Kingdom,36.0,459.0,5067.0,4320.0,12129.0,
Uruguay,480.0,,,,,
US,15.0,98.0,1663.0,2978.0,16544.0,40661.0
Uzbekistan,1165.0,,,,,
Venezuela,189.0,,,,,
Vietnam,16.0,16.0,47.0,,,
Zambia,52.0,,,,,
Zimbabwe,25.0,,,,,
Dominica,16.0,,,,,
Grenada,14.0,,,,,
Mozambique,39.0,,,,,
Syria,42.0,,,,,
Timor-Leste,23.0,,,,,
Belize,,,,,,
Laos,,,,,,
Libya,,,,,,
West Bank and Gaza,217.0,308.0,,,,
Guinea-Bissau,,,,,,
Mali,,,,,,
Saint Kitts and Nevis,,,,,,
Kosovo,,,,,,
Burma,,,,,,
MS Zaandam,,,,,,
Botswana,,,,,,
Burundi,,,,,,
Sierra Leone,,,,,,
Malawi,,,,,,
South Sudan,,,,,,
Western Sahara,,,,,,
Sao Tome and Principe,,,,,,
Yemen,,,,,,
